N_gen,N_samplings,data_p,lambd,lambd_surr,beta_0,beta_perp,surr_score,log_loss_test,mis_error_test,log_loss_val,mis_error_val,alpha_0,alpha_s,alpha_perp,grad_norm,split_pct,acc_train,theta_surr_norm,alpha_exp,effectiveN,label_method,label_method_a,label_method_b
0,6,3000,0.001,,5.0,0.0,,0.6661847720367422,0.298,0.6781940844450697,0.306,1.7327051831737967,0,2.066196758287507,0.00018763628601681036,20,1.0,2.696560085693464,-1.0,1397,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.6491236494082308,0.29306666666666664,0.6603411250976641,0.2959,1.7481211610280467,0,2.0329748660912514,0.00018399635600855948,20,1.0,2.6812150976362914,-1.0,1385,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.6478166225101326,0.29383333333333334,0.6720883279975216,0.3036333333333333,1.7334177835800777,0,2.045927290354382,0.00012400889686421418,20,1.0,2.6815211522284312,-1.0,1368,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.6519620327424462,0.2946,0.6713546156421806,0.30206666666666665,1.7193847558681354,0,2.0545365713864205,0.0001685449135708742,20,1.0,2.6790678345043815,-1.0,1362,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,0.6960228550149513,0.287,0.7118238504312603,0.2891666666666667,2.2651392741105183,0,2.4785179694257935,0.00025908314435850417,30,1.0,3.357663958153717,-1.0,2056,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.6819434041592668,0.27896666666666664,0.6997493280259316,0.2869333333333333,2.287443175514137,0,2.4359375303858917,0.00021688537786596697,30,1.0,3.3415846440197674,-1.0,2055,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.7746687620070758,0.3052,0.7873824573615946,0.3132666666666667,2.157496289648518,0,2.722581064604729,0.0004984936306463309,30,1.0,3.4737930124276755,-1.0,2050,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.6933246642466363,0.2854333333333333,0.7087955377436777,0.2877,2.2676773891647786,0,2.4747828199196618,0.0006699458032690723,30,1.0,3.356621924956503,-1.0,2077,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,0.6873322953145503,0.2845,0.6951380069182792,0.28423333333333334,2.2650102505932375,0,2.4387006091112715,0.0002153048859271065,30,1.0,3.328292669849232,-1.0,2070,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.6944869820311884,0.28373333333333334,0.7095202284762253,0.2917,2.271290183099149,0,2.4708482699723975,0.00034903645977136047,30,1.0,3.3561660073762973,-1.0,2054,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,0.6988435270944776,0.28436666666666666,0.7137250658486964,0.29023333333333334,2.273912391682076,0,2.491725742451225,0.0005860351104013185,30,1.0,3.3733328831645726,-1.0,2059,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.6776363737651038,0.27746666666666664,0.6944539695799751,0.2857,2.298256639856177,0,2.423868966131195,0.0002729374527288468,30,1.0,3.3402281879561633,-1.0,2049,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.7038674328957069,0.28796666666666665,0.7115159853983363,0.2922,2.231684891677763,0,2.4738946801570862,0.0002951964758830673,30,1.0,3.3317521432802173,-1.0,2021,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.6902347654360975,0.2855666666666667,0.6985761601477101,0.2854333333333333,2.2767164938464566,0,2.4643780438608425,0.00023886515740799058,30,1.0,3.3550852651483978,-1.0,2062,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,0.748881956738426,0.2772,0.7507627269050383,0.27903333333333336,2.788275855975102,0,2.8867047996137987,0.0004478768518124546,40,1.0,4.013420841268335,-1.0,2775,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.7328826475648785,0.27603333333333335,0.7435268349710235,0.27903333333333336,2.802828061880755,0,2.8524772570558663,0.0004474135310389932,40,1.0,3.9990588450893276,-1.0,2757,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.8172960799263024,0.29223333333333334,0.8255148700589021,0.2982,2.6776933091661936,0,3.1222137256107128,0.0009735084313884087,40,1.0,4.113181251336407,-1.0,2753,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.7513443235391916,0.2804,0.7666275959947101,0.2859333333333333,2.742926508072798,0,2.90434899901018,0.0005737810952564463,40,1.0,3.9948578118300864,-1.0,2767,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,0.7352523157276751,0.27836666666666665,0.7396305916183392,0.2789333333333333,2.7783117517746523,0,2.856792920125958,0.0005136174562536881,40,1.0,3.985007149119175,-1.0,2743,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.7365903056587854,0.2778333333333333,0.7503740263463564,0.2794,2.785466556461757,0,2.8528208290690373,0.0003749740883649787,40,1.0,3.9871557055044975,-1.0,2749,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,0.7539014230319243,0.28173333333333334,0.7657572794597673,0.2813,2.752436427645583,0,2.913515487259763,0.0003410968502911756,40,1.0,4.008051744018891,-1.0,2770,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.7365427797359352,0.27923333333333333,0.7468615845621854,0.27986666666666665,2.778352604773647,0,2.8435867858433532,0.0003810887578632724,40,1.0,3.9755790779552407,-1.0,2735,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.7512039569591468,0.28326666666666667,0.7585339991904334,0.2806,2.7730370165753655,0,2.9035838456861165,0.0015728863955460485,40,1.0,4.015038411301513,-1.0,2729,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.7500995838275593,0.2788333333333333,0.7560480492924927,0.28246666666666664,2.7495969453277382,0,2.898172504207063,0.00168857546466692,40,1.0,3.9949577251702513,-1.0,2731,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,0.7926342661521191,0.2695,0.8129286803766037,0.27523333333333333,3.2909644811353673,0,3.2839507485194175,0.0004367890760386538,50,1.0,4.6491697898437545,-1.0,3458,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.7945214972968169,0.2755666666666667,0.7969198120676472,0.27203333333333335,3.2996315226853157,0,3.2798674122814577,0.0006513937620259688,50,1.0,4.652429303884636,-1.0,3446,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.8588391461454468,0.28386666666666666,0.8713687002357403,0.2889333333333333,3.2169960415793772,0,3.499644516158687,0.00205773014489762,50,1.0,4.753585517377062,-1.0,3437,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.8097563879805522,0.27473333333333333,0.817213784958663,0.278,3.242485386708188,0,3.318984305668933,0.0007402422074991951,50,1.0,4.639975032723004,-1.0,3435,misspec,0.95,0.05
0,4,3000,0.001,,5.0,0.0,,0.7842037112405658,0.27203333333333335,0.7883409172126473,0.2714,3.239288866385884,0,3.225340130745841,0.0009849683183507138,50,1.0,4.571193642681433,-1.0,3427,misspec,0.95,0.05
0,5,3000,0.001,,5.0,0.0,,0.8004844225155833,0.2759,0.7988800698564437,0.27263333333333334,3.2699279269673207,0,3.264138305900036,0.0006428437490076946,50,1.0,4.620284355708505,-1.0,3430,misspec,0.95,0.05
0,6,3000,0.001,,5.0,0.0,,0.8026410362170127,0.27253333333333335,0.8078376070169643,0.27386666666666665,3.271353310814407,0,3.3129978666431024,0.001816785720489016,50,1.0,4.655932489690774,-1.0,3446,misspec,0.95,0.05
0,7,3000,0.001,,5.0,0.0,,0.7935984084269767,0.27416666666666667,0.8109308647213153,0.2750666666666667,3.2439721758257583,0,3.2790112427752787,0.0006668083784349913,50,1.0,4.612512353130166,-1.0,3427,misspec,0.95,0.05
0,8,3000,0.001,,5.0,0.0,,0.8036908786831154,0.2759,0.8065804107040488,0.27763333333333334,3.2417638995843587,0,3.281470055782678,0.0004356381284180929,50,1.0,4.612708413464563,-1.0,3412,misspec,0.95,0.05
0,9,3000,0.001,,5.0,0.0,,0.8101639210200686,0.27413333333333334,0.8156105294694528,0.27886666666666665,3.2215057707876356,0,3.291916072051616,0.00046062537881239827,50,1.0,4.605953848732071,-1.0,3396,misspec,0.95,0.05
0,0,3000,0.001,,5.0,0.0,,0.8732527935140955,0.2725666666666667,0.8756315451698097,0.2709,3.776862593238749,0,3.7351745042533597,0.0005859636424482662,60,1.0,5.3118941654960015,-1.0,4098,misspec,0.95,0.05
0,1,3000,0.001,,5.0,0.0,,0.8684094988922114,0.26986666666666664,0.8687896157712903,0.26843333333333336,3.8140960749560917,0,3.7418113652758453,0.0007419484770015644,60,1.0,5.343077873501653,-1.0,4131,misspec,0.95,0.05
0,2,3000,0.001,,5.0,0.0,,0.9003108027813872,0.27423333333333333,0.9160447526227609,0.2789,3.77271243914589,0,3.836549570148434,0.004858385979767876,60,1.0,5.380750110597245,-1.0,4117,misspec,0.95,0.05
0,3,3000,0.001,,5.0,0.0,,0.8680012875590988,0.2716,0.8723932732646945,0.2737,3.7851764909111623,0,3.700260656922142,0.0029687661874779237,60,1.0,5.293343933329141,-1.0,4117,misspec,0.95,0.05
